
2024/04/27 (22:04:51) | ===> btop++ v.1.3.2
2024/04/27 (22:04:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/27 (22:04:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/29 (13:46:36) | ===> btop++ v.1.3.2
2024/04/29 (13:46:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/29 (13:46:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/03 (23:12:47) | ===> btop++ v.1.3.2
2024/05/03 (23:12:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/03 (23:12:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (19:01:30) | ===> btop++ v.1.3.2
2024/05/06 (19:01:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (19:01:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (18:34:02) | ===> btop++ v.1.3.2
2024/05/07 (18:34:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (18:34:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (18:34:41) | ===> btop++ v.1.3.2
2024/05/07 (18:34:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (18:34:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (18:35:13) | ===> btop++ v.1.3.2
2024/05/07 (18:35:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (18:35:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (20:05:18) | ===> btop++ v.1.3.2
2024/05/07 (20:05:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (20:05:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (20:06:36) | ===> btop++ v.1.3.2
2024/05/07 (20:06:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (20:06:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (20:08:34) | ===> btop++ v.1.3.2
2024/05/07 (20:08:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (20:08:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported
